Symbol,BuyTime,SellTime,BuyPriceForUnitBTC,SellPriceForUnitBTC,SellReason,ProfitFeeIncluded,PercentageProfitFeeIncluded,WhiteList
PPTBTC;Thu Mar 08 00:09:54 CET 2018;Thu Mar 08 00:24:13 CET 2018;0,001765100;0,001839000;3;1,031382738;3,441383844;true
NEBLBTC;Thu Mar 08 00:09:57 CET 2018;Thu Mar 08 02:44:08 CET 2018;0,001330300;0,001293000;4;-1,258543776;-4,199345266;true
RPXBTC;Thu Mar 08 00:10:06 CET 2018;Thu Mar 08 01:50:11 CET 2018;0,000012020;0,000012390;3;0,918248695;3,063892875;true
NULSBTC;Thu Mar 08 00:11:43 CET 2018;Thu Mar 08 02:40:16 CET 2018;0,000370730;0,000356730;4;-1,309864714;-4,370586299;true
BATBTC;Thu Mar 08 00:11:45 CET 2018;Thu Mar 08 02:36:10 CET 2018;0,000031000;0,000029650;4;-1,366689477;-4,560191781;true
APPCBTC;Thu Mar 08 00:14:00 CET 2018;Thu Mar 08 03:22:22 CET 2018;0,000050080;0,000049000;4;-1,442600123;-4,813480559;true
MTLBTC;Thu Mar 08 00:15:32 CET 2018;Thu Mar 08 03:16:09 CET 2018;0,000474000;0,000463000;4;-1,301630683;-4,343112055;true
TRXBTC;Thu Mar 08 00:17:47 CET 2018;Thu Mar 08 03:26:23 CET 2018;0,000003900;0,000003840;4;-1,260079526;-4,204469558;true
CTRBTC;Thu Mar 08 00:21:30 CET 2018;Thu Mar 08 02:26:13 CET 2018;0,000051310;0,000054990;3;2,700748495;9,011506489;true
PPTBTC;Thu Mar 08 00:25:56 CET 2018;Thu Mar 08 02:34:16 CET 2018;0,001848800;0,001754700;4;-1,306540540;-4,359494627;true
VIBEBTC;Thu Mar 08 00:26:08 CET 2018;Thu Mar 08 02:00:56 CET 2018;0,000030130;0,000028950;2;-0,955077331;-3,186777881;true
GXSBTC;Thu Mar 08 00:33:48 CET 2018;Thu Mar 08 01:01:00 CET 2018;0,000323200;0,000320400;2;-0,425194384;-1,418733347;true
ENJBTC;Thu Mar 08 00:37:43 CET 2018;Thu Mar 08 01:24:16 CET 2018;0,000015130;0,000015560;3;1,060481039;3,538475274;true
SALTBTC;Thu Mar 08 01:09:31 CET 2018;Thu Mar 08 02:42:13 CET 2018;0,000350000;0,000341000;4;-1,205523603;-4,022434444;true
VIBBTC;Thu Mar 08 01:09:40 CET 2018;Thu Mar 08 02:00:58 CET 2018;0,000022610;0,000022390;2;-0,267007524;-0,890915997;true
BCDBTC;Thu Mar 08 01:09:54 CET 2018;Thu Mar 08 01:52:18 CET 2018;0,003025000;0,003116000;3;0,952003819;3,176522585;true
BNBBTC;Thu Mar 08 01:25:25 CET 2018;Thu Mar 08 02:00:59 CET 2018;0,000911700;0,000903600;2;-0,521765733;-1,740960070;true
WINGSBTC;Thu Mar 08 01:25:59 CET 2018;Thu Mar 08 05:22:20 CET 2018;0,000071950;0,000072030;4;-1,288303742;-4,298644452;true
XZCBTC;Thu Mar 08 01:43:49 CET 2018;Thu Mar 08 03:12:17 CET 2018;0,004665000;0,004600000;4;-1,279161278;-4,268139064;true
PIVXBTC;Thu Mar 08 01:44:00 CET 2018;Thu Mar 08 03:24:18 CET 2018;0,000512000;0,000510700;4;-1,256452930;-4,192368801;true
BCDBTC;Thu Mar 08 01:53:56 CET 2018;Thu Mar 08 02:18:20 CET 2018;0,003116000;0,003201000;3;0,926884230;3,092706807;true
BTCUSDT;Thu Mar 08 02:09:26 CET 2018;Thu Mar 08 02:42:14 CET 2018;10000,000000000;9785,830000000;4;-1,270017432;-4,237629069;true
DNTBTC;Thu Mar 08 02:09:37 CET 2018;Thu Mar 08 03:10:16 CET 2018;0,000007210;0,000007160;4;-1,221148725;-4,074570319;true
TNTBTC;Thu Mar 08 02:09:48 CET 2018;Thu Mar 08 03:22:24 CET 2018;0,000008360;0,000008320;4;-1,231710215;-4,109810526;true
CMTBTC;Thu Mar 08 02:09:50 CET 2018;Thu Mar 08 03:10:17 CET 2018;0,000011210;0,000011050;4;-1,433585541;-4,783401873;true
CHATBTC;Thu Mar 08 02:09:59 CET 2018;Thu Mar 08 03:10:17 CET 2018;0,000013240;0,000013130;4;-1,260906510;-4,207228927;true
VIBEBTC;Thu Mar 08 02:21:59 CET 2018;Thu Mar 08 03:20:21 CET 2018;0,000029220;0,000028940;4;-1,354129337;-4,518282739;true
HSRBTC;Thu Mar 08 02:33:27 CET 2018;Thu Mar 08 03:10:17 CET 2018;0,000680000;0,000673000;4;-1,343844767;-4,483966523;true
BNTBTC;Thu Mar 08 02:33:39 CET 2018;Thu Mar 08 03:22:24 CET 2018;0,000425640;0,000424420;4;-1,201884790;-4,010292928;true
BATBTC;Thu Mar 08 02:39:50 CET 2018;Thu Mar 08 03:26:24 CET 2018;0,000029940;0,000029660;4;-1,210363986;-4,038585206;true
ZECBTC;Thu Mar 08 02:41:36 CET 2018;Thu Mar 08 03:00:59 CET 2018;0,035075000;0,034853000;2;-0,133132962;-0,444220761;true
VIBBTC;Thu Mar 08 02:45:39 CET 2018;Thu Mar 08 03:26:25 CET 2018;0,000022700;0,000022330;4;-1,251758492;-4,176705011;true
NCASHBTC;Thu Mar 08 02:46:04 CET 2018;Thu Mar 08 03:01:00 CET 2018;0,000002630;0,000002600;2;-0,318914667;-1,064113002;true
NEBLBTC;Thu Mar 08 02:50:04 CET 2018;Thu Mar 08 04:44:17 CET 2018;0,001302200;0,001275000;4;-1,337029950;-4,461227729;true
WTCBTC;Thu Mar 08 03:09:28 CET 2018;Thu Mar 08 03:30:19 CET 2018;0,001882500;0,001802600;4;-1,253635403;-4,182967645;true
STRATBTC;Thu Mar 08 03:09:29 CET 2018;Thu Mar 08 05:00:41 CET 2018;0,000636000;0,000619000;2;-1,199489263;-4,002299842;true
ZECBTC;Thu Mar 08 03:09:36 CET 2018;Thu Mar 08 05:00:42 CET 2018;0,035275000;0,034564000;2;-1,005168107;-3,353914271;true
DASHBTC;Thu Mar 08 03:09:38 CET 2018;Thu Mar 08 04:00:43 CET 2018;0,052357000;0,051880000;2;-0,295834569;-0,987102332;true
